CONTRABAND/DATE,AMMUNITION - EACH,BATTERY PACK                   - EACH,CALLING CARD                   - EACH,CAMERA                         - EACH,CELL PHONE                     - EACH,CHARGER                        - EACH,CLUB                           - EACH,COCAINE (POWDER AND CRACK)     - GRAMS,COINS                          - EACH,COMMERCIAL ALCOHOL             - OUNCES,COMMUNICATION CAPABLE DEVICE   - EACH,CREDIT/DEBIT/PHONE CARD        - EACH,CURRENCY                       - EACH,DRONE                          - EACH,DRUG PARAPHERNALIA             - EACH,ESCAPE PARAPHERNALIA           - EACH,EXCESS PROPERTY                - EACH,FENTANYL / OXYCODONE           - EACH,FENTANYL / OXYCODONE           - GRAMS,FLAMMABLE LIQUID               - OUNCES,GANG TATTOO TEMPLATES          - EACH,GUN                            - EACH,HANDCUFF KEY                   - EACH,HEROIN                         - GRAMS,HOME MADE ALCOHOL              - EACH,HOME MADE ALCOHOL              - OUNCES,K2 (SYNTHETIC CANNABINOID)     - EACH,K2 (SYNTHETIC CANNABINOID)     - GRAMS,LIGHTERS                       - EACH,LOCK IN SOCK                   - EACH,MARIJUANA                      - GRAMS,MEDALLIONS/GANG SYMBOLS/TAGS   - EACH,METHADRONE (BATH SALTS)        - GRAMS,METHAMPHETAMINE/AMPHETAMINE    - GRAMS,NAIL/SHARP                     - EACH,NARCOTIC PILLS                 - EACH,OBSERVABLE GANG ACTIVITY       - EACH,OTHER                          - EACH,OTHER                          - GRAMS,"PAPERWORK, BY LAWS             - EACH",PORNOGRAPHY                    - EACH,PRESCRIPTION MEDICATION        - EACH,RAZOR TYPE WEAPON              - EACH,RECRUITMENT ACTIVITIES         - EACH,ROLLING PAPERS                 - EACH,SHANK/BLADED WEAPON            - EACH,SIMS CARD                      - EACH,STAMPS                         - EACH,STG/GANG MAIL (INCOM/OUTGO)    - EACH,SUBOXONE                       - EACH,SUBOXONE                       - GRAMS,SUBOXONE                       - OUNCES,TATTOO DEVICE                  - EACH,TATTOO DEVICE PARTS            - EACH,TATTOO INKS                    - EACH,TOBACCO                        - GRAMS,UNAUTHORIZED MP3 PLAYER        - EACH,USB DRIVE                      - EACH
08-2018 (Amount),111.0,79.0,1.0,0.0,699.0,318.0,2.0,487.52,0.0,259.55,27.0,20.0,2460.0,0.0,7.0,3.0,2.0,0.0,47.3,0.0,0.0,6.0,8.0,55.63,0.0,29991.69,0.0,2564.54,47.0,24.0,973.87,1.0,11.2,479.47,15.0,155.5,1.0,404.0,0.0,102.0,0.0,15.0,19.0,0.0,11.0,1159.01,30.0,0.0,0.0,340.5,0.0,0.0,12.0,13.0,23.0,45525.05,0.0,23.0
09-2018 (N),7,23,1,0,347,129,2,23,0,5,15,1,37,0,10,2,0,1,4,0,0,4,6,6,0,61,0,193,10,16,137,2,3,49,6,20,1,26,0,11,0,7,9,0,3,369,25,0,1,29,0,0,4,3,3,191,0,2
09-2018 (Amount),135.0,31.0,1.0,0.0,488.0,268.01,2.0,130.28,0.0,132.6,22.0,1.0,5059.0,0.0,42.0,2.0,0.0,3.0,6.5,0.0,0.0,4.0,6.0,13.41,0.0,15828.0,0.0,1746.7,17.0,18.0,799.53,4.0,27.2,542.07,30.0,554.01,1.0,193.5,0.0,68.0,0.0,108.0,15.0,0.0,25.0,858.0,51.0,0.0,2.0,170.0,0.0,0.0,4.0,25.0,3.0,38374.35,0.0,2.0
10-2018 (N),3,32,1,0,414,136,0,33,3,6,24,0,38,0,5,0,0,0,4,0,1,0,2,3,0,66,0,172,15,10,112,1,0,59,14,15,2,31,0,19,0,1,11,0,4,408,26,0,3,42,3,0,18,3,6,183,1,5
10-2018 (Amount),23.0,45.0,1.0,0.0,617.0,295.02,0.0,371.68,12.39,73.6,30.0,0.0,1680.02,0.0,5.0,0.0,0.0,0.0,112.3,0.0,1.0,0.0,3.0,6.44,0.0,21287.0,0.0,1696.02,32.0,10.0,617.75,1.0,0.0,639.18,22.0,194.0,23.0,163.61,0.0,154.0,0.0,1.0,14.0,0.0,9.0,918.01,39.0,0.0,17.0,297.0,3.0,0.0,18.0,3.0,14.0,38992.54,1.0,6.0
11-2018 (N),6,34,0,0,385,127,2,18,1,6,10,1,33,1,10,0,0,0,2,0,0,4,2,7,0,76,0,158,11,14,149,0,0,40,4,9,1,31,0,7,0,5,8,0,0,372,18,0,0,32,1,0,12,4,8,176,1,5
11-2018 (Amount),34.0,40.0,0.0,0.0,575.0,265.0,2.0,285.45,4.3,206.0,13.0,1.0,1205.0,1.0,25.0,0.0,0.0,0.0,4.8,0.0,0.0,4.0,6.0,17.2,0.0,26899.43,0.0,871.55,32.0,15.0,1258.69,0.0,0.0,570.17,5.0,121.5,2.0,154.22,0.0,23.0,0.0,22.5,13.0,0.0,0.0,779.1,46.0,0.0,0.0,191.0,1.7,0.0,12.0,9.0,21.0,59680.01,6.0,6.0
12-2018 (N),7,32,0,0,389,116,3,22,0,5,17,1,34,1,14,1,0,0,3,0,0,5,2,4,0,90,0,181,8,15,176,1,0,45,4,6,0,38,0,10,0,3,9,0,4,366,19,0,0,18,2,0,4,2,3,181,1,6
12-2018 (Amount),86.0,60.0,0.0,0.0,633.0,277.0,8.0,181.97,0.0,219.4,23.0,1.0,1798.0,1.0,26.0,1.0,0.0,0.0,1.3,0.0,0.0,5.0,2.0,33.31,0.0,30634.06,0.0,1194.19,13.0,18.0,1362.31,2.0,0.0,636.51,4.0,30.04,0.0,249.8,0.0,130.0,0.0,27.0,12.0,0.0,87.0,752.0,36.0,0.0,0.0,67.0,1.71,0.0,4.0,4.0,5.0,41165.31,1.0,11.0
01-2019 (N),13,38,0,0,483,180,0,42,0,9,18,0,44,0,12,1,1,0,10,0,1,8,4,5,0,109,0,238,23,20,256,0,5,74,8,20,1,35,0,19,1,10,14,0,1,420,29,0,1,38,6,0,8,5,10,216,2,4
01-2019 (Amount),320.0,45.0,0.0,0.0,700.05,326.0,0.0,228.21,0.0,417.8,30.0,0.0,4571.46,0.0,47.0,1.0,3.0,0.0,9.89,0.0,1.0,9.0,4.0,28.84,0.0,40607.09,0.0,1874.92,56.0,21.0,1510.1,0.0,24.94,775.71,9.0,413.0,1.0,376.6,0.0,214.0,2.0,282.01,24.0,0.0,1.0,1040.0,62.0,0.0,1.0,189.0,18.77,0.0,25.0,5.0,16.0,56547.95,2.0,19.0
02-2019 (N),6,43,0,0,408,150,1,26,1,7,18,0,45,0,12,3,0,0,7,0,0,7,3,7,0,89,0,205,11,20,193,2,1,61,6,9,7,28,0,17,2,9,8,1,5,364,24,0,2,36,3,0,9,5,5,177,0,9
02-2019 (Amount),190.0,74.0,0.0,0.0,579.03,373.0,1.0,103.08,80.0,648.89,39.0,0.0,3982.28,0.0,29.0,3.0,0.0,0.0,52.66,0.0,0.0,9.0,4.0,119.6,0.0,28285.9,0.0,1755.95,31.0,20.0,1005.91,2.0,6.9,432.71,8.0,93.0,40.0,544.9,0.0,137.0,2.0,153.0,9.0,1.0,29.0,859.0,56.0,0.0,2.0,299.0,10.0,0.0,10.0,31.0,7.0,58701.0,0.0,41.0
03-2019 (N),9,36,0,0,460,148,1,29,0,4,17,1,47,0,5,5,1,0,9,0,3,9,3,5,0,79,0,177,12,12,174,11,2,83,4,14,2,43,2,64,1,8,6,2,1,368,18,0,5,37,5,0,11,7,4,206,0,6
03-2019 (Amount),110.0,58.0,0.0,0.0,648.08,419.0,1.0,176.92,0.0,13.62,17.0,1.0,2336.0,0.0,7.0,6.0,2.0,0.0,36.6,0.0,10.0,9.0,3.0,107.21,0.0,22571.4,0.0,1742.35,21.0,12.0,1292.64,18.0,34.4,509.76,8.0,138.33,24.0,434.14,4.0,250.0,1.0,74.0,14.0,2.0,10.0,886.0,46.0,0.0,31.0,200.51,5.2,0.0,13.0,1000012.0,9.0,45102.06,0.0,19.0
04-2019 (N),1,34,0,0,546,181,3,45,0,4,19,1,61,0,9,2,1,0,6,0,4,2,1,6,0,109,0,258,21,23,157,4,3,82,12,13,3,41,0,41,1,5,11,0,5,441,36,2,11,45,3,0,13,8,6,243,1,10
04-2019 (Amount),17.0,48.0,0.0,0.0,798.02,359.0,3.0,260.05,0.0,1838.0,60.0,2.0,3246.11,0.0,10.0,3.0,1.0,0.0,11.01,0.0,5.0,2.0,1.0,22.0,0.0,43024.0,0.0,1788.05,29.0,25.0,1478.36,9.0,51.56,788.41,14.0,83.0,16.0,386.6,0.0,280.0,2.0,37.0,14.0,0.0,7.0,892.0,99.05,14.0,30.0,262.75,2.1,0.0,19.0,15.0,6.0,71823.44,1.0,20.0
05-2019 (N),4,38,0,0,477,151,1,36,1,2,17,3,57,0,6,1,0,0,7,0,0,0,4,7,0,71,0,234,18,13,118,2,3,77,6,13,0,25,0,17,0,9,7,0,0,343,31,0,4,59,4,0,12,6,13,207,1,4
05-2019 (Amount),38.0,63.0,0.0,0.0,603.04,318.0,1.0,423.54,54.14,12.0,25.0,14.0,3298.0,0.0,23.0,2.0,0.0,0.0,60.8,0.0,0.0,0.0,4.0,54.25,0.0,35435.84,0.0,1232.24,46.0,13.0,1011.74,2.0,3.9,513.59,6.0,92.0,0.0,60.71,0.0,78.0,0.0,76.5,24.0,0.0,0.0,676.0,64.0,0.0,22.0,461.08,14.2,0.0,21.0,14.0,53.8,40575.66,1.0,4.0
06-2019 (N),3,25,0,0,436,144,5,25,0,3,16,0,43,0,11,3,0,0,2,0,0,1,1,4,0,72,0,230,9,9,88,1,1,80,8,8,0,40,0,15,1,2,8,0,3,306,22,0,2,65,0,0,11,5,7,158,4,5
06-2019 (Amount),3.0,38.0,0.0,0.0,600.0,279.04,5.0,467.66,0.0,106.96,18.0,0.0,3358.0,0.0,136.0,3.0,0.0,0.0,3.5,0.0,0.0,1.0,1.0,5.47,0.0,25271.0,0.0,1528.06,23.0,9.0,595.16,2.0,4.0,657.81,13.0,875.63,0.0,162.2,0.0,183.0,2.0,22.0,20.0,0.0,6.0,634.05,38.0,0.0,13.0,454.7,0.0,0.0,13.0,30.0,33.0,38594.65,5.0,7.0
07-2019 (N),2,34,0,0,479,153,1,20,2,2,11,0,47,0,6,3,0,0,5,0,0,0,9,2,0,72,0,252,18,8,124,3,1,99,6,5,2,38,0,16,0,5,11,2,2,390,30,0,5,69,2,0,10,6,4,208,3,4
07-2019 (Amount),2.0,73.0,0.0,0.0,729.0,334.0,6.0,141.6,10.5,80.0,12.0,0.0,4565.09,0.0,9.0,5.0,0.0,0.0,65.4,0.0,0.0,0.0,11.0,5.0,0.0,26279.5,0.0,1585.64,29.0,8.0,841.01,3.0,0.5,1094.86,6.0,153.0,2.0,113.4,0.0,86.0,0.0,39.0,23.0,4.0,22.0,885.0,78.0,0.0,27.0,458.0,0.96,0.0,10.0,15.0,6.0,55784.81,5.0,6.0
08-2019 (N),3,26,0,0,517,174,0,17,0,2,17,4,38,0,3,5,0,0,3,0,0,0,2,6,0,83,0,208,12,9,127,3,0,63,9,13,5,47,0,16,0,4,6,0,2,354,30,0,4,64,2,0,11,2,3,187,1,5
08-2019 (Amount),161.0,32.05,0.0,0.0,757.0,378.05,0.0,95.4,0.0,268.68,23.0,5.0,733.52,0.0,3.0,5.0,0.0,0.0,29.25,0.0,0.0,0.0,2.0,136.33,0.0,27048.5,0.0,1821.18,42.0,9.0,1010.18,5.0,0.0,590.77,9.0,251.5,8.0,719.17,0.0,203.0,0.0,17.0,12.0,0.0,3.0,685.0,54.0,0.0,5.0,669.05,1.01,0.0,11.0,2.0,13.0,117839.79,2.0,7.0
09-2019 (N),3,21,0,0,531,142,0,16,0,2,9,1,36,1,6,3,0,0,4,0,1,0,3,3,0,57,0,227,8,17,104,0,1,82,4,9,3,33,0,9,1,5,14,0,1,383,22,0,0,59,2,0,5,5,2,159,1,3
09-2019 (Amount),5.0,23.0,0.0,0.0,697.0,376.0,0.0,90.52,0.0,52.7,9.0,1.0,3160.0,1.0,9.0,3.0,0.0,0.0,52.95,0.0,3.0,0.0,3.0,13.57,0.0,24579.56,0.0,1505.3,24.0,18.0,966.54,0.0,5.0,782.98,4.0,869.0,12.0,130.67,0.0,52.0,3.0,21.0,34.0,0.0,1.0,942.0,38.0,0.0,0.0,340.06,2.0,0.0,6.0,10.0,6.0,42329.71,1.0,17.0
10-2019 (N),1,29,0,0,602,159,5,20,0,3,14,0,42,0,6,2,0,0,6,0,0,2,4,10,0,89,0,304,12,8,143,0,3,112,15,10,1,53,1,7,0,9,18,1,1,397,42,0,2,66,9,0,11,7,2,206,0,8
10-2019 (Amount),1.0,57.0,0.0,0.0,857.01,362.0,5.0,66.49,0.0,172.2,19.0,0.0,1353.0,0.0,9.0,2.0,0.0,0.0,93.49,0.0,0.0,2.0,5.0,133.62,0.0,23602.85,0.0,2480.22,30.0,8.0,1284.33,0.0,15.63,1207.28,24.0,198.9,7.0,225.67,30.7,40.0,0.0,66.05,32.0,1.0,100.0,743.0,64.0,0.0,4.0,534.0,6.97,0.0,18.0,37.0,3.0,101953.13,0.0,13.0
11-2019 (N),1,18,0,0,402,120,2,14,0,1,14,2,29,1,6,5,2,0,4,0,0,0,7,6,0,59,0,195,16,9,123,1,2,79,4,8,6,23,1,6,2,2,10,0,1,308,17,0,1,45,4,0,5,3,2,159,1,4
11-2019 (Amount),33.0,27.0,0.0,0.0,599.0,279.0,2.0,193.45,0.0,67.6,18.0,2.0,927.0,1.0,5.01,20.0,7.0,0.0,20.27,0.0,0.0,0.0,11.0,19.47,0.0,20387.42,0.0,1175.59,60.0,10.0,1188.43,1.0,10.0,695.58,4.0,92.4,21.0,97.7,23.0,13.0,4.0,8.0,26.0,0.0,1.0,560.0,24.0,0.0,1.0,314.1,11.1,0.0,5.0,14.0,3.0,42460.57,1.0,9.0
12-2019 (N),0,18,1,0,467,150,1,31,0,7,10,1,42,1,4,4,0,0,5,0,0,1,4,8,0,62,0,212,9,8,138,0,4,83,6,10,1,45,0,3,0,6,9,0,1,287,18,0,1,69,10,0,6,5,6,185,0,5
12-2019 (Amount),0.0,20.09,1.0,0.0,689.21,350.04,1.0,140.3,0.0,1847.8,16.0,1.0,2454.0,1.0,8.0,65.0,0.0,0.0,60.31,0.0,0.0,1.0,4.0,334.4,0.0,27847.0,0.0,1596.61,24.0,13.0,1114.39,0.0,53.0,865.74,7.0,85.0,8.0,390.11,0.0,20.0,0.0,32.1,11.0,0.0,2.0,521.02,28.0,0.0,1.0,695.26,36.46,0.0,8.0,14.0,27.0,41984.04,0.0,6.0
01-2020 (N),2,32,0,0,546,153,2,34,0,2,13,0,45,0,7,4,0,0,4,0,1,0,8,12,0,54,0,251,7,11,170,1,0,92,8,18,2,52,0,5,0,10,13,0,0,312,24,0,0,63,6,0,7,6,2,181,1,5
01-2020 (Amount),2.0,57.0,0.0,0.0,860.0,440.0,2.0,250.63,0.0,18.5,15.0,0.0,2158.5,0.0,53.0,9.0,0.0,0.0,3.9,0.0,4.0,0.0,21.0,32.66,0.0,18068.01,0.0,2805.19,10.0,15.0,1572.64,1.0,0.0,1003.17,15.05,897.5,9.0,475.2,0.0,61.0,0.0,350.8,84.0,0.0,0.0,652.0,81.0,0.0,0.0,577.75,6.42,0.0,9.0,48.0,27.0,40697.79,1.0,6.0
02-2020 (N),1,28,0,0,512,118,2,29,0,1,14,2,30,0,1,4,0,0,5,0,0,1,6,9,0,48,0,228,17,14,145,0,2,107,5,15,3,44,0,6,0,8,13,0,3,298,23,1,0,76,6,0,7,1,2,171,1,8
02-2020 (Amount),3.0,35.0,0.0,0.0,743.13,360.0,2.0,402.5,0.0,68.0,35.0,3.0,1135.75,0.0,1.0,5.0,0.0,0.0,33.99,0.0,0.0,1.0,6.0,93.2,0.0,18669.3,0.0,2119.54,38.0,16.0,1578.93,0.0,65.38,1433.8,6.0,283.05,3.0,647.76,0.0,14.0,0.0,190.0,20.0,0.0,7.0,562.0,43.0,500.0,0.0,556.0,7.43,0.0,7.0,1.0,5.0,28605.33,1.0,11.0
03-2020 (N),9,13,0,0,410,114,1,22,0,6,6,0,22,0,5,3,1,0,5,0,0,8,1,4,0,40,0,190,13,11,140,3,0,81,7,6,1,39,0,9,1,9,11,0,3,298,25,0,1,69,5,0,10,4,2,155,1,2
03-2020 (Amount),194.0,15.0,0.0,0.0,584.07,259.0,1.0,251.1,0.0,1560.69,12.0,0.0,1335.0,0.0,8.0,7.0,5.0,0.0,30.47,0.0,0.0,9.0,1.0,3.6,0.0,26532.09,0.0,1581.0,25.0,11.0,885.01,12.0,0.0,1060.02,8.0,56.0,2.0,156.05,0.0,36.0,1.0,240.5,15.0,0.0,5.0,534.0,35.0,0.0,2.0,399.5,16.19,0.0,10.0,5.0,2.0,37524.24,1.0,2.0
04-2020 (N),5,13,0,0,364,105,0,23,1,2,6,0,31,1,7,3,0,0,4,0,0,3,2,1,0,42,0,179,7,14,119,0,0,104,10,12,1,41,0,2,1,6,11,0,5,255,14,0,3,99,11,0,8,8,3,130,0,4
04-2020 (Amount),72.0,19.0,0.0,0.0,528.0,281.0,0.0,421.98,4.05,22.0,7.0,0.0,2492.0,1.0,14.21,12.0,0.0,0.0,3.43,0.0,0.0,4.0,2.0,0.01,0.0,13618.6,0.0,1640.01,16.0,15.0,1123.01,0.0,0.0,952.65,10.0,171.1,30.0,211.1,0.0,21.0,2.0,52.0,21.0,0.0,19.0,473.0,29.0,0.0,18.0,1099.38,132.49,0.0,8.0,18.0,9.0,27953.29,0.0,4.0
05-2020 (N),7,20,0,0,377,93,1,12,0,1,12,2,20,0,4,2,1,0,4,0,0,5,4,2,0,54,0,123,2,14,103,0,3,65,4,7,0,39,12,4,0,3,15,0,0,257,16,0,4,135,4,0,5,4,4,83,5,6
05-2020 (Amount),131.0,35.0,0.0,0.0,555.01,263.0,1.0,71.2,0.0,12.0,13.0,2.0,902.0,0.0,4.0,3.0,4.0,0.0,17.87,0.0,0.0,5.0,4.0,51.0,0.0,31264.45,0.0,1040.94,23.0,17.0,695.02,0.0,9.51,645.75,4.0,32.0,0.0,548.9,115.41,42.0,0.0,92.0,16.0,0.0,0.0,548.0,26.0,0.0,4.0,1013.56,111.41,0.0,5.0,7.0,4.0,22285.83,6.0,7.0
06-2020 (N),4,13,0,0,360,103,1,11,0,2,14,0,21,0,6,7,0,0,7,0,0,3,2,5,0,57,1,135,7,14,87,1,2,64,7,10,4,33,6,3,1,1,4,0,3,257,19,0,3,160,6,0,5,3,3,106,4,5
06-2020 (Amount),70.0,23.0,0.0,0.0,663.12,333.01,1.0,49.8,0.0,33.12,52.0,0.0,1492.0,0.0,38.0,9.0,0.0,0.0,44.7,0.0,0.0,3.0,2.0,12.81,0.0,32273.9,1.0,1681.79,34.0,15.0,833.41,1.0,1.8,1620.3,12.0,106.4,4.0,205.0,94.55,60.0,2.0,10.0,4.0,0.0,12.0,529.5,34.0,0.0,17.0,1434.04,7.6,0.0,5.0,8.0,8.5,29286.28,4.0,13.0
07-2020 (N),6,20,0,0,336,102,1,11,0,2,13,1,16,0,3,2,0,0,7,0,0,1,1,6,0,49,0,95,3,12,78,0,1,47,7,9,0,36,24,4,0,6,7,0,1,194,21,0,0,142,3,0,4,1,0,70,1,3
07-2020 (Amount),17.0,25.0,0.0,0.0,504.01,341.05,1.0,174.01,0.0,108.7,39.0,2.0,1561.0,0.0,8.0,10.0,0.0,0.0,108.9,0.0,0.0,1.0,5.0,485.0,0.0,15079.25,0.0,1796.16,5.0,12.0,882.95,0.0,1.0,899.89,21.0,228.0,0.0,151.0,913.51,17.0,0.0,81.0,9.0,0.0,4.0,512.0,42.0,0.0,0.0,1193.0,1.51,0.0,5.0,4.0,0.0,12916.42,1.0,6.0
08-2020 (N),9,16,0,0,336,97,1,11,0,1,17,0,16,0,5,4,0,0,1,0,0,6,3,10,0,40,0,93,7,8,84,0,3,41,4,4,0,43,11,2,1,8,4,0,0,208,23,0,1,129,3,1,6,0,4,64,0,7
